period,state,sector,description,index_value,yoy_pct
2025-03-01,Meghalaya,combined,General Index (All Groups),101.21,
2025-03-01,Meghalaya,rural,General Index (All Groups),101.24,
2025-03-01,Meghalaya,urban,General Index (All Groups),101.15,
2025-03-01,Mizoram,combined,General Index (All Groups),101.99,
2025-03-01,Mizoram,rural,General Index (All Groups),102.31,
2025-03-01,Mizoram,urban,General Index (All Groups),101.76,
2025-03-01,Nagaland,combined,General Index (All Groups),101.75,
2025-03-01,Nagaland,rural,General Index (All Groups),102.21,
2025-03-01,Nagaland,urban,General Index (All Groups),101.01,
2025-03-01,Nct Of Delhi,combined,General Index (All Groups),101.31,
2025-03-01,Nct Of Delhi,rural,General Index (All Groups),99.72,
2025-03-01,Nct Of Delhi,urban,General Index (All Groups),101.35,
2025-03-01,Odisha,combined,General Index (All Groups),100.32,
2025-03-01,Odisha,rural,General Index (All Groups),100.21,
2025-03-01,Odisha,urban,General Index (All Groups),100.62,
2025-03-01,Puducherry,combined,General Index (All Groups),101.38,
2025-03-01,Puducherry,rural,General Index (All Groups),101.47,
2025-03-01,Puducherry,urban,General Index (All Groups),101.33,
2025-03-01,Punjab,combined,General Index (All Groups),102.06,
2025-03-01,Punjab,rural,General Index (All Groups),102.31,
2025-03-01,Punjab,urban,General Index (All Groups),101.77,
2025-03-01,Rajasthan,combined,General Index (All Groups),101.66,
2025-03-01,Rajasthan,rural,General Index (All Groups),101.66,
2025-03-01,Rajasthan,urban,General Index (All Groups),101.66,
2025-03-01,Sikkim,combined,General Index (All Groups),101.79,
2025-03-01,Sikkim,rural,General Index (All Groups),101.91,
2025-03-01,Sikkim,urban,General Index (All Groups),101.56,
2025-03-01,Tamil Nadu,combined,General Index (All Groups),101.47,
2025-03-01,Tamil Nadu,rural,General Index (All Groups),101.32,
2025-03-01,Tamil Nadu,urban,General Index (All Groups),101.58,
2025-03-01,Telangana,combined,General Index (All Groups),101.67,
2025-03-01,Telangana,rural,General Index (All Groups),101.42,
2025-03-01,Telangana,urban,General Index (All Groups),101.86,
2025-03-01,The Dadra And Nagar Haveli And Daman And Diu,combined,General Index (All Groups),100.55,
2025-03-01,The Dadra And Nagar Haveli And Daman And Diu,rural,General Index (All Groups),100.06,
2025-03-01,The Dadra And Nagar Haveli And Daman And Diu,urban,General Index (All Groups),100.72,
2025-03-01,Tripura,combined,General Index (All Groups),99.91,
2025-03-01,Tripura,rural,General Index (All Groups),99.81,
2025-03-01,Tripura,urban,General Index (All Groups),100.23,
2025-03-01,Uttar Pradesh,combined,General Index (All Groups),101.62,
2025-03-01,Uttar Pradesh,rural,General Index (All Groups),101.64,
2025-03-01,Uttar Pradesh,urban,General Index (All Groups),101.56,
2025-03-01,Uttarakhand,combined,General Index (All Groups),102.14,
2025-03-01,Uttarakhand,rural,General Index (All Groups),102.43,
2025-03-01,Uttarakhand,urban,General Index (All Groups),101.65,
2025-03-01,West Bengal,combined,General Index (All Groups),100.99,
2025-03-01,West Bengal,rural,General Index (All Groups),100.92,
2025-03-01,West Bengal,urban,General Index (All Groups),101.07,
2025-04-01,All India,combined,General Index (All Groups),101.58,
2025-04-01,All India,rural,General Index (All Groups),101.49,
2025-04-01,All India,urban,General Index (All Groups),101.71,
2025-04-01,Andaman And Nicobar Islands,combined,General Index (All Groups),102.65,
2025-04-01,Andaman And Nicobar Islands,rural,General Index (All Groups),102.93,
2025-04-01,Andaman And Nicobar Islands,urban,General Index (All Groups),102.35,
2025-04-01,Andhra Pradesh,combined,General Index (All Groups),100.84,
2025-04-01,Andhra Pradesh,rural,General Index (All Groups),100.61,
