year,month,period,carrier_name,carrier,service_type,source_file,departures,hours_flown,passengers,rpk_thousand,ask_thousand,pax_load_factor,freight_tonne,mail_tonne,cargo_total_tonne,tkm_passenger_thousand,tkm_freight_thousand,tkm_mail_thousand,atk_thousand,weight_load_factor,load_factor_derived,load_factor_gap,ask_yoy_pct,ask_mom_pct,pax_yoy_pct
2026,4,2026-04-01,BLUEDART,BZ,scheduled_domestic,bluedart26.xlsx,556,529.8373,0,0.0,0.0,,10101.138,0.0,10101.138,0.0,9966.44,0.0,16086.136,61.96,,,,,
2026,4,2026-04-01,INDIA ONE AIR,I1,scheduled_domestic,india_one_air26.xlsx,383,115.238,1687,539.168,1037.142,51.99,0.0,0.0,0.0,48.52512,0.0,0.0,93.34278,51.99,51.99,0.0,,-5.008490363849183,
2026,4,2026-04-01,FLY91,IC,scheduled_domestic,fly91_26.xlsx,845,356.05,38616,16566.87,25229.07,65.67,0.0,0.0,0.0,1356.96,0.0,0.0,2144.47,63.28,65.67,0.0,,22.4791806845688,
2026,4,2026-04-01,AIR INDIA EXPRESS,IX,nonscheduled_domestic,air_india_express26.xlsx,41,23.983,4041,2185.094,4518.174,48.36,0.0,0.0,0.0,163.88205,0.0,0.0,479.66,34.17,48.36,0.0,,24.903078059482308,
2026,4,2026-04-01,AIR INDIA EXPRESS,IX,nonscheduled_international,air_india_express26.xlsx,22,76.406,3639,12638.247,14440.734,87.52,0.0,0.0,0.0,947.868525,0.0,0.0,1528.12,62.03,87.52,0.0,,277.28223247764635,
2026,4,2026-04-01,AIR INDIA EXPRESS,IX,scheduled_domestic,air_india_express26.xlsx,10265,9800.26827429011,1460627,1451110.76844964,1792098.58752048,80.97,6905.595022,0.0,6905.595022,145111.076844963,7475.194811269,0.0,245006.706857252,62.28,80.97,0.0,,-6.890487609932516,
2026,4,2026-04-01,AIR INDIA EXPRESS,IX,scheduled_international,air_india_express26.xlsx,1288,3429.98376032299,187157,489030.08340411,619107.016348954,78.99,890.0324,0.0,890.0324,36837.8362528664,2190.86228896246,0.0,85749.5940080746,45.51,78.99,0.0,,4.808916920498008,
2026,4,2026-04-01,QUIKJET CARGO,QO,nonscheduled_domestic,quikjetcargo26.xlsx,21,19.669,0,0.0,0.0,,153.654,0.0,153.654,0.0,157.672951,0.0,432.718,36.44,,,,,
2026,4,2026-04-01,QUIKJET CARGO,QO,nonscheduled_international,quikjetcargo26.xlsx,4,9.102,0,0.0,0.0,,36.302,0.0,36.302,0.0,109.051208,0.0,200.244,54.46,,,,,
2026,4,2026-04-01,QUIKJET CARGO,QO,scheduled_domestic,quikjetcargo26.xlsx,73,88.187,0,0.0,0.0,,857.738,0.0,857.738,0.0,1033.964305,0.0,1940.114,53.29,,,,,
